supply,amp,adp,atp,energy_charge,amp_over_Ka,theta,mu_per_day,converged
1.0,0.013088630723308882,0.15785418488942493,1.5230282961672774,0.9456804649570841,0.2320007423790929,0.21370740248644793,0.8191231682658445,True
0.9666666666666667,0.014753009575701977,0.16725569215449074,1.5169496862064744,0.9420934283314448,0.26150246318687825,0.21687225695866466,0.816501435388956,True
0.9333333333333333,0.016737416923372207,0.1777184172067867,1.5096157768710436,0.9380327535268755,0.2966768055282926,0.2207509683652513,0.8133261975804144,True
0.9,0.019122544291790448,0.18939745022207974,1.5006954557203023,0.933407301351485,0.3389540560550638,0.22553885240409763,0.8094461858806794,True
0.8666666666666667,0.02201292755032037,0.20246619887537767,1.4897631982238506,0.9281046645414002,0.3901871510911135,0.23148830573100698,0.804664004847125,True
0.8333333333333334,0.02554408620109405,0.2171121966122813,1.476277696425593,0.9219864252339666,0.4527782231257857,0.23892224574496274,0.7987235029310656,True
0.8,0.029891123600438257,0.23352728534441114,1.4595635474748214,0.9148831676813436,0.5298310428681535,0.24824600587088372,0.7912964769499169,True
0.7666666666666666,0.03527831726525472,0.25188943330939995,1.4388052839565628,0.9065900621305224,0.6253210109174163,0.25995209728288743,0.7819719121254256,True
0.7333333333333334,0.041988507023553265,0.27233405421703905,1.4130692866919263,0.8968644350467998,0.7442615661473441,0.27460837625579193,0.7702538779282728,True
0.7,0.05037032981217109,0.2949157626892679,1.381373636534364,0.8854272165904535,0.8928324251285142,0.2928173745917221,0.7555771971898468,True
0.6666666666666667,0.06084133624781499,0.3195681105848767,1.3428209648364606,0.871969882816453,1.0784348244841213,0.31513772573524107,0.7373502200045458,True
0.6333333333333333,0.07388702272428657,0.34607733025170007,1.2967854337405982,0.8561667578113401,1.309674364461085,0.34197353248861456,0.7150270530476739,True
0.6,0.09006047085709276,0.37408977251341374,1.2431039417610714,0.8376894550752306,1.5963546179545687,0.37346265508653803,0.6881958913539789,True
0.5666666666666667,0.1099928926283784,0.40316341224467694,1.182190834980081,0.8162178167371033,1.9496640470391722,0.4094127842146141,0.656653827150674,True
0.5333333333333333,0.13442835689360907,0.4328530306770886,1.115013233790395,0.791442671350701,2.3827915429364777,0.4493213602361077,0.6204374649743171,True
0.5,0.1642953343364247,0.46280240650059795,1.0429319533768848,0.763060178535939,2.9121945863742495,0.4924728730600734,0.5797990458283131,True
0.4666666666666667,0.2008285441616557,0.4928200599799304,0.9674784529558675,0.7307619713731611,3.559759024558815,0.5380687052839327,0.5351444639886402,True
0.43333333333333335,0.24576559202720463,0.5229347063651525,0.8901513181420058,0.6942264515077718,4.356284550072043,0.585340065433417,0.48696186609512815,True
0.4,0.3016738966869847,0.5534484259192487,0.8122815093155106,0.6531145613477546,5.347279594582427,0.6336177883257794,0.43576349014196236,True
0.3666666666666667,0.37253407241733305,0.5850241047249854,0.7349732085195367,0.6070701374203687,6.603301994639701,0.6823585280620874,0.3820503293585275,True
0.33333333333333337,0.4648759285187322,0.618871233387983,0.6591033521319101,0.5557211941152382,8.240094996220543,0.7311397704982244,0.3263000025495435,True
0.30000000000000004,0.5902287867132443,0.657168548560963,0.5853601328022546,0.4986717680883059,10.46202002224159,0.7796364299419186,0.2689765581990026,True
0.2666666666666667,0.7711407709093301,0.7041013785687545,0.5143120633788524,0.4354557151871524,13.66875077399405,0.8275849164495892,0.21056772855057693,True
0.2333333333333334,1.0589202521974144,0.7687948029406179,0.44652688268224,0.3653631877657402,18.769746799606363,0.874726561530547,0.15167901917303805,True
0.2,1.6032101309407816,0.875921642229643,0.38285123504106133,0.28679836805489134,28.417482961419662,0.9206788331421404,0.09330858837777503,True
