param,dir,value,converged,theta_min,theta_max,theta_span,gar_fold,atp_max
Ftot,down,0.01,True,0.1948794205399608,0.2135797996622124,0.018700379122251615,376.0069502344271,1.5159069897089021
Ftot,up,0.04,True,0.1948794206029297,0.2137402885291218,0.0188608679261921,1702.9484529244778,1.5248622728328918
Kc,down,0.001,True,0.1948794206029297,0.2137402885291218,0.0188608679261921,1702.9484529244778,1.5248622728328918
Kc,up,0.004,True,0.1948794205399608,0.2135797996622124,0.018700379122251615,376.0069502344271,1.5159069897089021
Kg,down,0.005,True,0.194879408125922,0.2137265341386254,0.018847126012703413,1963.4461882777819,1.5240952896476179
Kg,up,0.02,True,0.19487944544506658,0.2136702079075339,0.01879076246246733,505.05413657257236,1.520953382273847
Kt,down,0.005,True,0.19488312604204824,0.21372678893783859,0.018843662895790342,987.4191227369389,1.5241094988324346
Kt,up,0.02,True,0.19487454668693072,0.21366928752237507,0.018794740835444357,999.3727773759371,1.5209020293312898
c_gart,down,2.5,True,0.19487942053981838,0.2133346563826155,0.018455235842797124,168.27799392871475,1.5022025166815571
c_gart,up,10.0,True,0.19487942060294747,0.21375758959427937,0.018878168991331906,2732.395555642918,1.525826892714621
Kprpp,down,0.15,True,0.2213353508613179,0.24176856819519477,0.020433217333876874,16.772378577239184,1.5829914706598496
Kprpp,up,0.6,True,0.17025444023969802,0.18315661820745616,0.012902177967758138,2360.952912445588,1.223220645889194
c_ppat,down,1.0,True,0.15007473905359964,0.15808044967694593,0.00800571062334629,2916.2281676699026,0.9362170609928382
c_ppat,up,4.0,True,0.2821771628121799,0.3036753628063794,0.021498199994199496,5.470078230561146,1.578665199342685
c_prps,down,1.0,True,0.3462211230210895,0.35645894071890305,0.010237817697813567,3011.6023026276825,0.875354658329738
c_prps,up,4.0,True,0.08948463965926146,0.10107658194035456,0.011591942281093101,4.721620271809087,1.5783509999822607
ko_prpp,down,1.0,True,0.13584215669608013,0.15191369640461858,0.016071539708538446,9.223051905999133,1.5802138050241337
ko_prpp,up,4.0,True,0.2784954984627803,0.2926937080900821,0.014198209627301783,2638.293812931408,1.1043176126400946
kdeg,down,0.05,True,0.19488310235759024,0.2137362129173651,0.01885311055977487,1957.6235114648541,1.5246350153249533
kdeg,up,0.2,True,0.1948745804811816,0.21365159033115133,0.018777009849969745,506.0934716434518,1.5199145298122652
